Lunana: A Yak in the Classroom,2019,"Drama, Family",N/A,110 ,7.4
Nowhere Special,2020,Drama,N/A,96 ,7.4
We Made a Beautiful Bouquet,2021,"Drama, Romance",N/A,124 ,7.4
No Time to Die,2021,"Action, Adventure, Thriller",PG-13,163 ,7.3
Cruella,2021,"Adventure, Comedy, Crime",PG-13,134 ,7.3
Old Henry,2021,"Action, Drama, Western",Not Rated,99 ,7.3
Raya and the Last Dragon,2021,"Animation, Action, Adventure",PG,107 ,7.3
Palmer,2021,Drama,R,110 ,7.3
In the Heights,2021,"Drama, Musical, Romance",PG-13,143 ,7.3
The Hand of God,2021,Drama,R,130 ,7.3
Dinner in America,2020,"Comedy, Drama, Music",N/A,106 ,7.3
Hit the Road,2021,"Comedy, Drama, Music",N/A,93 ,7.3
Playground,2021,Drama,N/A,72 ,7.3
Brother's Keeper,2021,"Drama, Thriller",N/A,85 ,7.3
Kaagaz,2021,"Biography, Comedy, Drama",N/A,109 ,7.3
Miracle: Letters to the President,2021,Drama,N/A,117 ,7.3
Writing with Fire,2021,Documentary,Not Rated,92 ,7.3
Writing with Fire,2021,Documentary,Not Rated,92 ,7.3
The Wheel of Time,2021,"Action, Adventure, Drama",TV-14,60 ,7.2
The Suicide Squad,2021,"Action, Adventure, Comedy",R,132 ,7.2
Don't Look Up,2021,"Comedy, Drama, Sci-Fi",R,138 ,7.2
Encanto,2021,"Animation, Comedy, Family",PG,102 ,7.2
Behind Her Eyes,2021,"Drama, Mystery, Thriller",TV-MA,298 ,7.2
Belfast,2021,"Biography, Drama, Romance",PG-13,98 ,7.2
The Book of Boba Fett,20212022,"Action, Adventure, Sci-Fi",TV-14,38 ,7.2
A Quiet Place Part II,2020,"Drama, Horror, Sci-Fi",PG-13,97 ,7.2
The Courier,2020,"Drama, History, Mystery",PG-13,112 ,7.2
Black Box,2021,"Drama, Mystery, Thriller",N/A,129 ,7.2
The Witcher: Nightmare of the Wolf,2021,"Animation, Action, Adventure",TV-MA,83 ,7.2
Minamata,2020,Drama,R,115 ,7.2
